Key,Participant_ID,Start_ms,End_ms,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion
2spl2,16,1677840714316.4954,1677840721008.1018,0.7090600798762453,803.0,71.21980780817093
2Item1,16,1677840724415.2722,1677840729861.5222,0.7230605494921277,653.0,122.51089460108822
2Item2,16,1677840732703.8726,1677840737211.15,0.7729528639051649,540.0,79.68897676194672
2Item3,16,1677840738775.4648,1677840742941.0872,0.8330977478027344,500.0,95.5868278507296
2Item4,16,1677840744099.7002,1677840795219.7556,0.8820125079290986,6135.0,141.0105658492543
2Item5,16,1677840797781.8396,1677840805561.5425,0.830318430484555,933.0,134.63407248665968
2Item6,16,1677840806693.9856,1677840814412.3748,0.7174239519090426,926.0,148.27301384651494
2Item7,16,1677840816138.547,1677840829478.4658,0.8372407531738282,1600.0,122.5517917953374
2Item8,16,1677840830521.6726,1677840848446.1008,0.8141376312695676,2151.0,140.85880612046412
2Item9,16,1677840854115.2617,1677840866924.0352,0.7769008728305318,1537.0,95.66690549758518
2Item10,16,1677840868018.0718,1677840877172.2063,0.8043128953388263,1098.0,115.14161958618374
3spl1,16,1677840929069.8027,1677840933452.0205,0.7255159820440604,526.0,60.61514654400602
3spl2,16,1677840933485.0886,1677840940558.8296,0.7901108542937694,849.0,82.88716202902832
3Item15,16,1677840940590.464,1677840944304.9917,0.7611310813459046,446.0,81.13587727778066
3Item2,16,1677840944320.5022,1677840948745.616,0.7417007704912606,531.0,100.99072444363556
3Item5,16,1677840948762.952,1677840949730.266,0.7653508021913725,116.0,131.6983854729096
3Item12,16,1677840949742.7017,1677840958134.0403,0.7421009173577924,1007.0,78.9882776436725
3Item6,16,1677840958157.748,1677840963682.8438,0.7314415841081023,663.0,80.41671319622436
3Item8,16,1677840963703.3235,1677840967579.779,0.7118136990454889,465.0,71.91318749894337
3Item7,16,1677840967596.8188,1677840976851.8584,0.7871681439994586,1111.0,121.41252303038335
3Item9,16,1677840976869.481,1677840982899.784,0.7769749889057644,724.0,82.24269806046485
3Item17,16,1677840982916.957,1677840986116.011,0.7750911065243554,383.0,90.95974278292633
3Item19,16,1677840986141.7954,1677840994367.52,0.7277883048477869,987.0,90.84495467439538
3Item11,16,1677840994385.8677,1677841001865.713,0.7778949270269653,898.0,85.38291831091846
3Item4,16,1677841001885.786,1677841015092.2715,0.7418673686800695,1585.0,86.32934592653089
3Item13,16,1677841015110.64,1677841022774.317,0.7774677027826724,920.0,108.75676563170568
3Item10,16,1677841022795.995,1677841031420.2158,0.7773898359658061,1035.0,130.47752604138813
3Item14,16,1677841031438.0488,1677841037116.4722,0.7683293122727091,681.0,118.4516277809658
3Item3,16,1677841037133.4558,1677841041724.583,0.7674905323506267,551.0,110.25687269085178
3Item20,16,1677841041746.6948,1677841052474.1255,0.7678573774383711,1287.0,102.97590480036628
3Item18,16,1677841052502.6147,1677841056317.283,0.7607568619809474,457.0,101.06919287660769
3Item16,16,1677841056338.4563,1677841060884.3782,0.6830233652657325,545.0,130.16732950362345
1spl1,17,1676289128800.731,1676289144050.772,0.3548906586860698,1830.0,116.7617956470876
1spl2,17,1676289144148.3645,1676289170091.7317,0.4567787204710581,3114.0,102.6945837581998
1Item1,17,1676289170120.8071,1676289181417.118,0.4677456937356684,1356.0,99.1830587777412
1Item2,17,1676289181442.597,1676289211647.9148,0.4511194857893319,3625.0,60.0118606172262
1Item3,17,1676289211676.245,1676289233429.7612,0.441794498813239,2611.0,102.67110013024347
1Item4,17,1676289233447.6138,1676289271705.3872,0.4556408406238726,4591.0,67.37205529454101
1Item5,17,1676289271733.9895,1676289319436.1042,0.4377838523966045,5724.0,99.75344568064068
1Item6,17,1676289319461.3823,1676289339463.3552,0.4615498883979413,2401.0,131.93108082698322
1Item7,17,1676289339490.2075,1676289381718.4436,0.4206866721233798,5068.0,154.3892655742211
1Item8,17,1676289381744.4905,1676289404140.577,0.4969372777711777,2688.0,122.29262439603794
1Item9,17,1676289404164.6255,1676289442200.168,0.4246349184268613,4564.0,89.19035939295932
1Item10,17,1676289442223.7114,1676289464091.4346,0.5099844060293058,2624.0,143.5655215412701
2spl1,17,1676289575383.6492,1676289581683.3037,0.3937270250269976,756.0,176.48182697739335
2spl2,17,1676289586032.3442,1676289591206.8008,0.4915341977719907,621.0,217.24351806234884
2Item1,17,1676289592579.939,1676289599676.5852,0.5923384903742114,852.0,186.107008948662
2Item2,17,1676289600892.517,1676289608680.59,0.5825457894228359,935.0,141.36608979636998
2Item3,17,1676289609949.8088,1676289615835.0388,0.5287158198802396,706.0,138.40533808169909
2Item4,17,1676289617001.102,1676289625830.6365,0.5567018544898843,1060.0,128.0118422094861
2Item5,17,1676289626932.494,1676289640325.5164,0.5500380083427121,1607.0,133.06017561428507
