Key,Participant_ID,Start_ms,End_ms,gsr_mean,gsr_max,gsr_std,gsr_peak_count
2Item4,9,1676375318225.7837,1676375349874.4458,1.319217440175228,1.3593073593073597,0.0210108211013138,1193.0
2Item5,9,1676375351007.6135,1676375365850.905,1.2814387951230055,1.2909312909312909,0.0044382669041401,560.0
2Item6,9,1676375366868.271,1676375385800.97,1.258102011713237,1.274059274059274,0.009723424655289,699.0
2Item7,9,1676375387036.1729,1676375423211.6116,1.22415136148671,1.2456432456432456,0.0104056447663419,1352.0
2Item8,9,1676375424043.4155,1676375488933.7048,1.2045665226498357,1.2509712509712507,0.0252183307620336,2430.0
2Item9,9,1676375489946.9375,1676375523042.444,1.153703080048689,1.1683871683871685,0.0097922120376875,1243.0
2Item10,9,1676375524461.5674,1676375586341.5295,1.1041574026422512,1.1430791430791427,0.0214748689964476,2273.0
3spl1,9,1676375671195.7532,1676375675737.7715,1.0785294262058458,1.0849150849150848,0.0042201058003853,164.0
3Item15,9,1676375683258.477,1676375697171.0205,1.1084431196727658,1.1213231213231214,0.0136370751950851,499.0
3Item2,9,1676375697195.0117,1676375702954.1323,1.11489385030769,1.118215118215118,0.0016600043665098,212.0
3Item5,9,1676375702981.6177,1676375707449.749,1.114115100129086,1.1159951159951158,0.0010426166944041,151.0
3Item12,9,1676375707465.301,1676375720350.8335,1.1060215205669748,1.1137751137751135,0.004524899777094,483.0
3Item6,9,1676375720368.6592,1676375726924.7837,1.0942973064546364,1.098235098235098,0.0015011862768191,238.0
3Item8,9,1676375726948.4478,1676375737152.8848,1.0839488909933015,1.0915750915750917,0.00380114947472,367.0
3Item7,9,1676375737171.4758,1676375743301.0771,1.0753758712942387,1.0782550782550782,0.0009586013320885,215.0
3Item9,9,1676375743325.079,1676375759294.0088,1.0623197198539662,1.0733710733710733,0.0054602687697481,576.0
3Item17,9,1676375759318.3745,1676375769872.6577,1.0468690779571608,1.053391053391053,0.0044343674835962,384.0
3Item19,9,1676375769890.673,1676375784891.6594,1.0283993783993783,1.0400710400710398,0.0062426336669922,553.0
3Item11,9,1676375784911.035,1676375798704.035,1.0132137901107323,1.0187590187590183,0.0032842754621405,511.0
3Item4,9,1676375798724.9705,1676375802185.6694,1.005008063831593,1.0063270063270062,0.0005401240509646,133.0
3Item13,9,1676375802185.6694,1676375804185.6694,1.0054025835275833,1.0063270063270062,0.000396422049723,67.0
1spl1,10,1677153274545.8398,1677153294652.1724,1.4364540757855957,1.4615384615384617,0.0141425238657148,640.0
1spl2,10,1677153294801.4155,1677153304102.151,1.400765294971844,1.4234432234432233,0.0152648982207269,331.0
1Item1,10,1677153304131.4905,1677153328691.066,1.3141853020949423,1.3712953712953713,0.0368575286300541,1008.0
1Item2,10,1677153328717.015,1677153366401.5266,1.1713366459375167,1.2451992451992453,0.0384890030422795,1575.0
1Item3,10,1677153366424.3792,1677153382461.864,1.0786047853753649,1.1119991119991115,0.0198999679144792,663.0
1Item4,10,1677153382483.0293,1677153390756.853,1.0325695708131968,1.0476190476190477,0.0091425630023245,350.0
1Item5,10,1677153390783.541,1677153413014.6277,0.9946453952075875,1.0183150183150182,0.0144484791106126,963.0
1Item6,10,1677153413036.122,1677153435656.656,0.9495276056049536,0.9703629703629704,0.0122365845172146,969.0
1Item7,10,1677153435680.4788,1677153458885.3396,0.9190407048992908,0.9357309357309356,0.0091527999673059,963.0
1Item8,10,1677153458902.8132,1677153473997.7825,0.8946887021421182,0.901986901986902,0.0047428388679434,640.0
1Item9,10,1677153474022.629,1677153501311.6946,0.8759385793453929,0.8935508935508935,0.0125849018341113,1165.0
1Item10,10,1677153501330.895,1677153517999.5525,0.8514811232711887,0.861138861138861,0.0050612005005575,718.0
2spl1,10,1677153682397.1675,1677153689771.5508,0.7621244079356486,0.7652347652347651,0.0010079787682927,289.0
2spl2,10,1677153691826.31,1677153708817.0986,0.755369381576278,0.7639027639027639,0.0034882781207107,693.0
2Item1,10,1677153718201.4968,1677153728057.6204,0.7314748869070834,0.7363747363747362,0.0027580548774467,378.0
2Item2,10,1677153729572.5215,1677153740877.107,0.7262480282521746,0.7297147297147295,0.0009976500831524,447.0
2Item3,10,1677153742200.021,1677153763425.0122,0.7266652294256267,0.7337107337107335,0.0034773152573365,828.0
2Item4,10,1677153764618.4617,1677153775961.7888,0.7186975864661814,0.7248307248307247,0.0035677355635285,451.0
2Item5,10,1677153777500.6306,1677153801877.8198,0.7160960122498584,0.7212787212787211,0.0018827759024316,971.0
2Item6,10,1677153803001.5776,1677153815539.9172,0.7110509428266437,0.7159507159507158,0.0021741593482312,508.0
2Item7,10,1677153816652.4688,1677153864542.4385,0.6999637303063077,0.7097347097347096,0.0042000784420228,1995.0
2Item8,10,1677153866626.016,1677153892571.579,0.6876405738194354,0.7012987012987012,0.0074496501125644,1018.0
2Item9,10,1677153893944.4265,1677153898629.518,0.6776829180835857,0.6795426795426794,0.0007938541679536,182.0
2Item10,10,1677153900258.005,1677153906368.739,0.6782827856996654,0.6813186813186813,0.0013440159500281,249.0
3spl1,10,1677154000199.0916,1677154004932.315,0.7006195125007006,0.7026307026307026,0.0007652010690749,202.0
3spl2,10,1677154004954.773,1677154007820.523,0.7007675945005645,0.702186702186702,0.0006821316946099,119.0
3Item15,10,1677154007849.4736,1677154014020.5625,0.7049007251538896,0.7075147075147074,0.0012652354854632,257.0
3Item2,10,1677154014038.091,1677154023134.6458,0.7054816126981074,0.7084027084027082,0.0012222875319769,373.0
3Item5,10,1677154023170.2532,1677154028665.4766,0.705576389786916,0.7075147075147074,0.0010762899768974,222.0
3Item12,10,1677154028689.991,1677154043897.936,0.7021198854788994,0.7052947052947051,0.0014725452849025,622.0
3Item6,10,1677154043924.8376,1677154052088.8032,0.7005798029721474,0.7035187035187034,0.0014722248988995,317.0
3Item8,10,1677154052112.9312,1677154060321.9329,0.6945575832350331,0.6986346986346986,0.0017541389280048,321.0
3Item7,10,1677154060343.958,1677154082095.6667,0.6936837109250902,0.699078699078699,0.0031175112685715,854.0
3Item9,10,1677154082122.6233,1677154113057.1887,0.6920643890340858,0.702186702186702,0.0043575511906579,1236.0
3Item17,10,1677154113078.5962,1677154118304.4287,0.6941754475386761,0.706182706182706,0.0085713507971258,212.0
3Item19,10,1677154118320.619,1677154122602.529,0.7013278692110807,0.7048507048507048,0.001937645439699,169.0
3Item11,10,1677154122624.575,1677154125575.5923,0.702311540507827,0.7052947052947051,0.0012008017927052,118.0
3Item4,10,1677154125575.5923,1677154128575.5923,0.7048160173160172,0.715062715062715,0.0050572801660822,118.0
1spl1,11,1676893876033.026,1676893894630.82,8.269459912329493,8.58955214355911,0.1419726479592854,524.0
1spl2,11,1676893894907.3638,1676893900828.8315,8.49620318606188,8.645709691005859,0.1269105787863448,142.0
1Item1,11,1676893900893.4363,1676893911729.4302,8.458258985177684,8.661025385764061,0.1320905041423106,294.0
1Item2,11,1676893911765.3794,1676893956810.4502,7.917251757328332,8.533394596112364,0.212030644403202,1338.0
1Item3,11,1676893956847.7075,1676894036270.5022,7.081712503282387,7.982029584817038,0.3975194961454023,2277.0
1Item4,11,1676894036304.9294,1676894085063.6426,6.978477336294334,7.2724023943536125,0.1616809015104275,1340.0
1Item5,11,1676894085100.471,1676894109920.0107,7.1675113378383495,7.410243647177442,0.0987110111464634,680.0
1Item6,11,1676894109955.5708,1676894122968.8438,6.961461308496289,7.063087899324834,0.0696511835726587,358.0
1Item7,11,1676894123013.0386,1676894130806.7437,6.922752917531678,7.0069303518780846,0.0570211444721347,213.0
1Item8,11,1676894130840.238,1676894142593.521,6.993867064942573,7.190718688976528,0.1143186910128827,322.0
1Item9,11,1676894142619.9585,1676894160282.744,6.944495695272,7.149876836287985,0.1211204270054368,506.0
1Item10,11,1676894160316.0403,1676894191127.1477,6.782836056076049,6.971193730775612,0.1047613067394144,898.0
2spl1,11,1676894313691.21,1676894318693.6038,7.827072664788124,7.890135416267821,0.0359118650947069,144.0
2spl2,11,1676894321460.0242,1676894324300.9568,8.328060212760878,8.487447511837756,0.0739167816453697,69.0
